short_name,age,overall,value_eur,wage_eur,pace,shooting,passing,defending
R. Mahrez,31.0,86.0,56500000.0,220000.0,80.0,83.0,81.0,38.0
P. Dybala,28.0,86.0,69500000.0,130000.0,80.0,85.0,85.0,40.0
Bruno Fernandes,27.0,86.0,72500000.0,190000.0,72.0,86.0,88.0,67.0
A. Laporte,28.0,86.0,64500000.0,195000.0,61.0,50.0,72.0,86.0
K. Coman,26.0,86.0,80000000.0,105000.0,92.0,77.0,79.0,30.0
M. BrozoviÄ‡,29.0,86.0,58000000.0,110000.0,69.0,74.0,81.0,81.0
S. MilinkoviÄ‡-SaviÄ‡,27.0,86.0,77500000.0,90000.0,68.0,80.0,82.0,79.0
N. Barella,25.0,86.0,89500000.0,110000.0,79.0,76.0,83.0,77.0
L. MartÃ­nez,24.0,86.0,98500000.0,110000.0,83.0,83.0,72.0,48.0
M. Å kriniar,27.0,86.0,68500000.0,105000.0,78.0,41.0,57.0,88.0
C. Nkunku,24.0,86.0,94000000.0,90000.0,88.0,81.0,83.0,65.0
VinÃ­cius Jr.,21.0,86.0,109000000.0,200000.0,95.0,79.0,74.0,29.0
Ä°. GÃ¼ndoÄŸan,31.0,85.0,44000000.0,185000.0,64.0,80.0,85.0,72.0
M. Reus,33.0,85.0,33500000.0,78000.0,70.0,84.0,84.0,53.0
K. Walker,32.0,85.0,37500000.0,170000.0,91.0,63.0,77.0,80.0
P. Aubameyang,33.0,85.0,34500000.0,180000.0,87.0,84.0,74.0,36.0
Jordi Alba,33.0,85.0,28000000.0,190000.0,84.0,70.0,82.0,77.0
Sergio Busquets,33.0,85.0,26500000.0,190000.0,42.0,62.0,79.0,82.0
Iago Aspas,34.0,85.0,26000000.0,50000.0,82.0,85.0,79.0,35.0
P. Pogba,29.0,85.0,52500000.0,165000.0,67.0,80.0,85.0,62.0
M. Depay,28.0,85.0,55000000.0,230000.0,83.0,84.0,82.0,30.0
Jorginho,30.0,85.0,51500000.0,165000.0,54.0,67.0,86.0,73.0
S. Gnabry,26.0,85.0,59000000.0,100000.0,82.0,84.0,79.0,43.0
Gerard Moreno,30.0,85.0,53000000.0,64000.0,78.0,86.0,77.0,46.0
Y. Carrasco,28.0,85.0,54500000.0,90000.0,89.0,82.0,80.0,53.0
F. KostiÄ‡,29.0,85.0,53000000.0,165000.0,84.0,78.0,82.0,68.0
J. Vardy,35.0,85.0,23000000.0,110000.0,84.0,84.0,70.0,52.0
N. SÃ¼le,26.0,85.0,59000000.0,72000.0,71.0,48.0,66.0,85.0
N. Fekir,28.0,85.0,54500000.0,48000.0,83.0,82.0,82.0,38.0
M. AcuÃ±a,30.0,85.0,46500000.0,46000.0,76.0,74.0,83.0,80.0
Diogo Jota,25.0,85.0,76000000.0,170000.0,85.0,83.0,75.0,57.0
T. HernÃ¡ndez,24.0,85.0,76000000.0,82000.0,93.0,72.0,76.0,78.0
P. Schick,26.0,85.0,67500000.0,95000.0,78.0,83.0,71.0,36.0
M. de Ligt,22.0,85.0,71000000.0,77000.0,75.0,59.0,61.0,84.0
P. Foden,22.0,85.0,109500000.0,180000.0,82.0,78.0,81.0,56.0
Pedri,19.0,85.0,116000000.0,115000.0,79.0,67.0,81.0,68.0
G. Chiellini,37.0,84.0,7500000.0,11000.0,65.0,46.0,60.0,85.0
A. GÃ³mez,34.0,84.0,20000000.0,47000.0,86.0,78.0,83.0,39.0
Sergio Ramos,36.0,84.0,7500000.0,75000.0,61.0,69.0,73.0,83.0
D. Mertens,35.0,84.0,18000000.0,86000.0,78.0,82.0,80.0,34.0
L. SuÃ¡rez,35.0,84.0,18000000.0,1000.0,70.0,86.0,78.0,46.0
M. Hummels,33.0,84.0,20000000.0,66000.0,53.0,59.0,76.0,87.0
E. DÅ¾eko,36.0,84.0,14500000.0,80000.0,63.0,84.0,71.0,45.0
I. PeriÅ¡iÄ‡,33.0,84.0,26500000.0,130000.0,78.0,81.0,79.0,74.0
E. Hazard,31.0,84.0,35000000.0,220000.0,83.0,80.0,82.0,35.0
Ã. Di MarÃ­a,34.0,84.0,20000000.0,160000.0,79.0,79.0,84.0,48.0
L. Bonucci,35.0,84.0,11000000.0,95000.0,54.0,59.0,69.0,85.0
K. Trippier,31.0,84.0,30500000.0,120000.0,70.0,64.0,82.0,80.0
Muniain,29.0,84.0,41500000.0,49000.0,81.0,77.0,82.0,51.0
Canales,31.0,84.0,35000000.0,42000.0,83.0,79.0,85.0,68.0
J. Matip,30.0,84.0,34500000.0,140000.0,61.0,46.0,69.0,87.0
S. de Vrij,30.0,84.0,34500000.0,88000.0,68.0,41.0,65.0,87.0
L. Insigne,31.0,84.0,35000000.0,19000.0,84.0,78.0,84.0,36.0
D. TadiÄ‡,33.0,84.0,26500000.0,32000.0,68.0,81.0,86.0,43.0
W. Ben Yedder,31.0,84.0,35500000.0,88000.0,81.0,84.0,78.0,39.0
R. Varane,29.0,84.0,39000000.0,155000.0,81.0,49.0,64.0,85.0
S. SaviÄ‡,31.0,84.0,29000000.0,74000.0,64.0,35.0,58.0,87.0
Carvajal,30.0,84.0,36500000.0,185000.0,82.0,54.0,77.0,78.0
J. Grealish,26.0,84.0,46000000.0,185000.0,76.0,76.0,83.0,46.0
M. KovaÄiÄ‡,28.0,84.0,42000000.0,155000.0,70.0,69.0,83.0,71.0
H. Ã‡alhanoÄŸlu,28.0,84.0,42000000.0,100000.0,67.0,80.0,85.0,68.0
T. Partey,29.0,84.0,36000000.0,115000.0,65.0,71.0,81.0,80.0
D. Berardi,27.0,84.0,45000000.0,57000.0,82.0,81.0,81.0,36.0
R. De Paul,28.0,84.0,42000000.0,85000.0,78.0,77.0,83.0,75.0
Y. Tielemans,25.0,84.0,52500000.0,115000.0,56.0,80.0,86.0,70.0
L. HernÃ¡ndez,26.0,84.0,46000000.0,82000.0,77.0,54.0,70.0,84.0
L. SanÃ©,26.0,84.0,49500000.0,90000.0,88.0,81.0,80.0,38.0
M. Ã˜degaard,23.0,84.0,63500000.0,105000.0,76.0,75.0,86.0,58.0
Marcos Llorente,27.0,84.0,48000000.0,81000.0,88.0,79.0,81.0,78.0
W. Ndidi,25.0,84.0,47500000.0,105000.0,66.0,62.0,68.0,85.0
L. Pellegrini,26.0,84.0,55000000.0,95000.0,79.0,77.0,83.0,74.0
Oyarzabal,25.0,84.0,53000000.0,57000.0,79.0,83.0,80.0,41.0
F. KessiÃ©,25.0,84.0,47500000.0,165000.0,78.0,76.0,74.0,82.0
F. Tomori,24.0,84.0,60500000.0,75000.0,86.0,40.0,60.0,86.0
J. Sancho,22.0,84.0,61500000.0,155000.0,81.0,74.0,81.0,36.0
M. Mount,23.0,84.0,57500000.0,130000.0,74.0,81.0,85.0,55.0
D. Rice,23.0,84.0,52000000.0,83000.0,71.0,64.0,74.0,82.0
A. Davies,21.0,84.0,60500000.0,59000.0,94.0,66.0,77.0,76.0
A. Hakimi,23.0,84.0,53500000.0,90000.0,92.0,75.0,79.0,75.0
K. Havertz,23.0,84.0,84500000.0,130000.0,81.0,79.0,79.0,45.0
F. Chiesa,24.0,84.0,66500000.0,140000.0,91.0,81.0,76.0,48.0
A. Bastoni,23.0,84.0,60500000.0,75000.0,73.0,35.0,69.0,86.0
R. James,22.0,84.0,57000000.0,120000.0,81.0,70.0,82.0,80.0
F. Valverde,23.0,84.0,66000000.0,175000.0,87.0,74.0,80.0,78.0
Ã‰der MilitÃ£o,24.0,84.0,57500000.0,160000.0,86.0,50.0,70.0,85.0
L. DÃ­az,25.0,84.0,56000000.0,155000.0,91.0,80.0,75.0,34.0
S. Tonali,22.0,84.0,62500000.0,75000.0,81.0,73.0,81.0,79.0
J. KoundÃ©,23.0,84.0,57500000.0,150000.0,84.0,45.0,64.0,85.0
Rafael LeÃ£o,23.0,84.0,66500000.0,90000.0,91.0,77.0,73.0,27.0
M. Diaby,22.0,84.0,61500000.0,70000.0,93.0,73.0,75.0,42.0
JoÃ£o FÃ©lix,22.0,84.0,68500000.0,78000.0,83.0,80.0,81.0,40.0
D. VlahoviÄ‡,22.0,84.0,86500000.0,140000.0,80.0,85.0,66.0,28.0
J. Bellingham,19.0,84.0,81500000.0,41000.0,75.0,75.0,78.0,77.0
JesÃºs Navas,36.0,83.0,8000000.0,28000.0,85.0,68.0,82.0,79.0
PiquÃ©,35.0,83.0,9500000.0,110000.0,56.0,61.0,71.0,83.0
David Silva,36.0,83.0,12000000.0,37000.0,61.0,72.0,86.0,52.0
J. Henderson,32.0,83.0,28500000.0,135000.0,66.0,74.0,83.0,78.0
Fernando,34.0,83.0,12500000.0,39000.0,65.0,62.0,76.0,83.0
J. Cuadrado,34.0,83.0,13500000.0,120000.0,90.0,75.0,78.0,76.0
Koke,30.0,83.0,34500000.0,74000.0,70.0,72.0,84.0,78.0
A. Griezmann,31.0,83.0,30500000.0,185000.0,80.0,82.0,83.0,52.0
Luis Alberto,29.0,83.0,35500000.0,74000.0,54.0,75.0,86.0,57.0
Roberto Firmino,30.0,83.0,35500000.0,150000.0,74.0,76.0,79.0,59.0
J. Stones,28.0,83.0,34500000.0,150000.0,72.0,51.0,71.0,84.0
H. Ziyech,29.0,83.0,35500000.0,155000.0,76.0,77.0,87.0,50.0
Ricardo Pereira,28.0,83.0,33000000.0,105000.0,79.0,67.0,79.0,80.0
P. ZieliÅ„ski,28.0,83.0,36500000.0,78000.0,81.0,77.0,81.0,70.0
T. Lemar,26.0,83.0,47000000.0,74000.0,82.0,78.0,83.0,68.0
P. HÃ¸jbjerg,26.0,83.0,40500000.0,110000.0,55.0,73.0,77.0,80.0
Ã. Correa,27.0,83.0,42500000.0,80000.0,85.0,84.0,77.0,50.0
D. Zapata,31.0,83.0,30500000.0,77000.0,78.0,82.0,63.0,35.0
J. GimÃ©nez,27.0,83.0,38500000.0,68000.0,71.0,46.0,57.0,85.0
Diego Carlos,29.0,83.0,30500000.0,105000.0,76.0,47.0,63.0,82.0
AngeliÃ±o,25.0,83.0,42000000.0,64000.0,78.0,71.0,82.0,76.0
Marco Asensio,26.0,83.0,43000000.0,200000.0,82.0,80.0,81.0,43.0
RÃºben Neves,25.0,83.0,47500000.0,105000.0,58.0,74.0,86.0,76.0
Merino,26.0,83.0,47000000.0,49000.0,73.0,78.0,81.0,82.0
K. Laimer,25.0,83.0,38500000.0,64000.0,84.0,68.0,78.0,81.0
P. Kimpembe,26.0,83.0,42000000.0,95000.0,80.0,43.0,68.0,83.0
FabiÃ¡n,26.0,83.0,44500000.0,105000.0,61.0,79.0,80.0,74.0
F. Mendy,27.0,83.0,38000000.0,170000.0,92.0,64.0,77.0,78.0
Ronaldo Cabrais,30.0,83.0,35000000.0,59000.0,88.0,77.0,83.0,35.0
Gabriel Jesus,25.0,83.0,48500000.0,115000.0,84.0,82.0,74.0,40.0
O. DembÃ©lÃ©,25.0,83.0,48000000.0,180000.0,93.0,77.0,79.0,36.0
V. Osimhen,23.0,83.0,58000000.0,72000.0,90.0,82.0,65.0,40.0
C. Romero,24.0,83.0,49500000.0,95000.0,73.0,46.0,57.0,85.0
Raphinha,25.0,83.0,48000000.0,180000.0,91.0,79.0,77.0,50.0
Carlos Soler,25.0,83.0,53000000.0,100000.0,80.0,77.0,83.0,71.0
Bremer,25.0,83.0,45500000.0,115000.0,78.0,50.0,56.0,84.0
Pau Torres,25.0,83.0,50500000.0,43000.0,73.0,38.0,67.0,84.0
C. Gakpo,23.0,83.0,52000000.0,29000.0,87.0,82.0,77.0,41.0
R. Araujo,23.0,83.0,52000000.0,135000.0,77.0,51.0,65.0,83.0
RaÃºl Albiol,36.0,82.0,5500000.0,30000.0,38.0,41.0,62.0,85.0
I. RakitiÄ‡,34.0,82.0,14000000.0,39000.0,53.0,80.0,86.0,75.0
D. Payet,35.0,82.0,12500000.0,40000.0,70.0,78.0,84.0,40.0
O. Giroud,35.0,82.0,13000000.0,66000.0,42.0,83.0,72.0,42.0
S. KjÃ¦r,33.0,82.0,14500000.0,73000.0,62.0,54.0,64.0,84.0
Yuri Berchiche,32.0,82.0,21000000.0,35000.0,81.0,68.0,76.0,79.0
T. Alderweireld,33.0,82.0,14500000.0,30000.0,57.0,55.0,70.0,85.0
M. ArnautoviÄ‡,33.0,82.0,19500000.0,51000.0,78.0,82.0,79.0,44.0
Azpilicueta,32.0,82.0,20000000.0,115000.0,64.0,55.0,76.0,84.0
Coutinho,30.0,82.0,29500000.0,100000.0,62.0,79.0,80.0,52.0
C. Eriksen,30.0,82.0,29000000.0,135000.0,61.0,78.0,88.0,53.0
I. Gueye,32.0,82.0,20500000.0,53000.0,67.0,66.0,72.0,83.0
S. Coates,31.0,82.0,21000000.0,19000.0,68.0,49.0,55.0,84.0
Isco,30.0,82.0,29500000.0,39000.0,65.0,75.0,80.0,59.0
W. Zaha,29.0,82.0,30000000.0,85000.0,91.0,79.0,73.0,37.0
L. Muriel,31.0,82.0,25500000.0,70000.0,89.0,83.0,74.0,27.0
F. Acerbi,34.0,82.0,10000000.0,59000.0,62.0,50.0,64.0,85.0
S. Berghuis,30.0,82.0,29500000.0,25000.0,80.0,82.0,83.0,40.0
L. Digne,28.0,82.0,27500000.0,100000.0,78.0,69.0,80.0,77.0
K. Volland,29.0,82.0,30500000.0,76000.0,70.0,85.0,79.0,46.0
Nacho FernÃ¡ndez,32.0,82.0,20000000.0,155000.0,75.0,37.0,69.0,82.0
Gabriel Paulista,31.0,82.0,21000000.0,44000.0,67.0,49.0,71.0,84.0
G. Kondogbia,29.0,82.0,29500000.0,71000.0,68.0,75.0,77.0,81.0
Sergi Darder,28.0,82.0,30500000.0,30000.0,82.0,74.0,82.0,74.0
L. Spinazzola,29.0,82.0,27000000.0,77000.0,91.0,64.0,73.0,78.0
IÃ±igo MartÃ­nez,31.0,82.0,21000000.0,35000.0,71.0,56.0,67.0,82.0
W. Orban,29.0,82.0,25500000.0,65000.0,57.0,36.0,53.0,84.0
R. JimÃ©nez,31.0,82.0,25500000.0,110000.0,73.0,81.0,76.0,47.0
S. Haller,28.0,82.0,31000000.0,68000.0,65.0,80.0,62.0,52.0
M. Ginter,28.0,82.0,29000000.0,40000.0,60.0,59.0,71.0,84.0
E. Can,28.0,82.0,30500000.0,63000.0,79.0,78.0,77.0,82.0
R. Guerreiro,28.0,82.0,27500000.0,57000.0,74.0,77.0,86.0,75.0
Grimaldo,26.0,82.0,33000000.0,19000.0,87.0,65.0,81.0,74.0
OtÃ¡vio,27.0,82.0,32500000.0,21000.0,78.0,69.0,80.0,63.0
GayÃ ,27.0,82.0,32000000.0,44000.0,83.0,61.0,76.0,78.0
T. Werner,26.0,82.0,38000000.0,73000.0,90.0,80.0,69.0,35.0
J. Brandt,26.0,82.0,40000000.0,60000.0,67.0,78.0,82.0,48.0
Anderson Talisca,28.0,82.0,31000000.0,64000.0,80.0,82.0,78.0,52.0
J. Tah,26.0,82.0,33500000.0,62000.0,67.0,37.0,59.0,83.0
A. Christensen,26.0,82.0,37500000.0,145000.0,68.0,32.0,66.0,84.0
A. KramariÄ‡,31.0,82.0,25500000.0,54000.0,71.0,80.0,79.0,30.0
Rafa,29.0,82.0,30000000.0,24000.0,91.0,73.0,75.0,50.0
G. Di Lorenzo,28.0,82.0,27500000.0,66000.0,85.0,66.0,73.0,78.0
J. Maddison,25.0,82.0,38000000.0,100000.0,73.0,78.0,84.0,54.0
M. Locatelli,24.0,82.0,40000000.0,37000.0,63.0,72.0,79.0,79.0
R. Gosens,27.0,82.0,29500000.0,59000.0,82.0,75.0,74.0,77.0
GonÃ§alo Guedes,25.0,82.0,41000000.0,105000.0,86.0,83.0,74.0,38.0
Aritz Elustondo,28.0,82.0,29000000.0,43000.0,64.0,39.0,65.0,82.0
I. Bennacer,24.0,82.0,40000000.0,63000.0,77.0,68.0,80.0,77.0
C. Pulisic,23.0,82.0,48000000.0,120000.0,87.0,71.0,73.0,37.0
AndrÃ© Silva,26.0,82.0,38000000.0,73000.0,74.0,83.0,70.0,47.0
B. Chilwell,25.0,82.0,37000000.0,110000.0,76.0,60.0,78.0,78.0
JosuÃ© Chiamulera,30.0,82.0,25000000.0,23000.0,78.0,43.0,56.0,85.0
T. Abraham,24.0,82.0,42000000.0,77000.0,83.0,81.0,66.0,36.0
R. Malinovskyi,29.0,82.0,30500000.0,73000.0,76.0,81.0,83.0,64.0
D. Dumfries,26.0,82.0,34500000.0,73000.0,83.0,63.0,70.0,78.0
Lucas PaquetÃ¡,24.0,82.0,46000000.0,77000.0,72.0,78.0,79.0,69.0
A. Danjuma,25.0,82.0,36500000.0,43000.0,88.0,81.0,75.0,42.0
N. Mazraoui,24.0,82.0,40500000.0,59000.0,84.0,66.0,77.0,76.0
Ferran Torres,22.0,82.0,49000000.0,150000.0,84.0,79.0,79.0,35.0
A. TchouamÃ©ni,22.0,82.0,61500000.0,145000.0,70.0,70.0,79.0,81.0
Dani Olmo,24.0,82.0,46000000.0,59000.0,67.0,76.0,81.0,50.0
B. Saka,20.0,82.0,60500000.0,76000.0,84.0,74.0,78.0,65.0
N. Schlotterbeck,22.0,82.0,44500000.0,47000.0,76.0,56.0,66.0,84.0
D. NÃºÃ±ez,23.0,82.0,61500000.0,120000.0,89.0,82.0,68.0,42.0
Antony,22.0,82.0,49000000.0,130000.0,93.0,74.0,75.0,39.0
F. Wirtz,19.0,82.0,66000000.0,38000.0,78.0,73.0,80.0,51.0
Pepe,39.0,81.0,4600000.0,12000.0,77.0,51.0,60.0,81.0
JoÃ£o Moutinho,35.0,81.0,10500000.0,70000.0,47.0,71.0,84.0,71.0
C. Vela,33.0,81.0,16000000.0,14000.0,77.0,79.0,76.0,30.0
J. Vertonghen,35.0,81.0,7000000.0,21000.0,69.0,62.0,72.0,83.0
G. Bale,32.0,81.0,20500000.0,14000.0,80.0,84.0,81.0,55.0
Ã‰. Banega,34.0,81.0,12000000.0,47000.0,62.0,74.0,83.0,75.0
E. Cavani,35.0,81.0,11000000.0,37000.0,61.0,83.0,68.0,51.0
Rafael TolÃ³i,31.0,81.0,17500000.0,55000.0,67.0,52.0,59.0,82.0
Oscar,30.0,81.0,25000000.0,28000.0,79.0,78.0,82.0,59.0
C. Smalling,32.0,81.0,16500000.0,68000.0,62.0,47.0,58.0,83.0
M. GÃ¶tze,30.0,81.0,25000000.0,38000.0,67.0,74.0,83.0,55.0
N. Otamendi,34.0,81.0,8500000.0,18000.0,63.0,57.0,62.0,83.0
H. Mkhitaryan,33.0,81.0,16000000.0,74000.0,82.0,79.0,78.0,56.0
J. Corona,29.0,81.0,25500000.0,40000.0,82.0,65.0,80.0,73.0
T. Delaney,30.0,81.0,21500000.0,33000.0,72.0,71.0,74.0,82.0
A. Lacazette,31.0,81.0,22000000.0,81000.0,70.0,81.0,76.0,44.0
Marc Bartra,31.0,81.0,17500000.0,44000.0,71.0,61.0,73.0,81.0
Pablo Sarabia,30.0,81.0,25000000.0,95000.0,73.0,76.0,82.0,57.0
H. Maguire,29.0,81.0,24000000.0,120000.0,48.0,57.0,68.0,80.0
J. Ward-Prowse,27.0,81.0,29500000.0,69000.0,59.0,74.0,86.0,67.0
L. Ocampos,27.0,81.0,27500000.0,39000.0,80.0,81.0,77.0,62.0
E. ViÅ¡Ä‡a,32.0,81.0,20500000.0,48000.0,87.0,78.0,78.0,47.0
T. Savanier,30.0,81.0,25000000.0,33000.0,64.0,76.0,84.0,69.0
Felipe,33.0,81.0,12500000.0,57000.0,59.0,43.0,59.0,81.0
E. Forsberg,30.0,81.0,25000000.0,62000.0,71.0,73.0,83.0,35.0
Lucas VÃ¡zquez,31.0,81.0,18500000.0,140000.0,82.0,73.0,79.0,73.0
G. Laborde,28.0,81.0,26500000.0,61000.0,74.0,81.0,76.0,40.0
J. Hofmann,29.0,81.0,25500000.0,40000.0,73.0,76.0,80.0,64.0
N. Tagliafico,29.0,81.0,22500000.0,72000.0,80.0,56.0,72.0,80.0
K. Demirbay,28.0,81.0,25500000.0,65000.0,69.0,76.0,81.0,71.0
V. Grifo,29.0,81.0,25500000.0,40000.0,74.0,75.0,80.0,40.0
R. Andrich,27.0,81.0,26500000.0,57000.0,63.0,76.0,76.0,79.0
Ricardo Horta,27.0,81.0,28000000.0,23000.0,79.0,82.0,79.0,43.0
M. Uribe,31.0,81.0,21000000.0,19000.0,75.0,76.0,75.0,80.0
B. Bourigeaud,28.0,81.0,26000000.0,66000.0,76.0,77.0,83.0,66.0
IÃ±aki Williams,28.0,81.0,26500000.0,40000.0,94.0,78.0,72.0,38.0
S. Fofana,27.0,81.0,27500000.0,43000.0,73.0,74.0,75.0,73.0
A. Saint-Maximin,25.0,81.0,32500000.0,95000.0,90.0,73.0,73.0,27.0
M. Politano,28.0,81.0,26000000.0,72000.0,83.0,77.0,78.0,42.0
S. Lobotka,27.0,81.0,29500000.0,64000.0,71.0,68.0,79.0,73.0
C. Tolisso,27.0,81.0,27500000.0,75000.0,69.0,78.0,77.0,77.0
N. KeÃ¯ta,27.0,81.0,29500000.0,115000.0,69.0,74.0,76.0,69.0
H. Lozano,26.0,81.0,28000000.0,69000.0,93.0,76.0,72.0,41.0
M. PaÅ¡aliÄ‡,27.0,81.0,27500000.0,60000.0,75.0,79.0,76.0,67.0
L. Torreira,26.0,81.0,28500000.0,73000.0,72.0,70.0,76.0,78.0
K. Phillips,26.0,81.0,32000000.0,120000.0,66.0,65.0,77.0,79.0
Borja Iglesias,29.0,81.0,25500000.0,36000.0,66.0,82.0,65.0,40.0
J. Gomez,25.0,81.0,34000000.0,100000.0,80.0,30.0,67.0,81.0
G. RodrÃ­guez,27.0,81.0,26500000.0,30000.0,51.0,57.0,71.0,84.0
G. Lo Celso,26.0,81.0,31500000.0,100000.0,71.0,75.0,83.0,68.0
K. Tierney,25.0,81.0,33000000.0,82000.0,84.0,60.0,75.0,76.0
A. Zambo Anguissa,26.0,81.0,28500000.0,58000.0,78.0,68.0,71.0,80.0
M. Akanji,26.0,81.0,26500000.0,120000.0,77.0,48.0,70.0,83.0
D. Zakaria,25.0,81.0,34500000.0,95000.0,82.0,64.0,73.0,80.0
Palhinha,26.0,81.0,28500000.0,66000.0,63.0,65.0,70.0,82.0
D. Upamecano,23.0,81.0,37000000.0,54000.0,82.0,43.0,61.0,80.0
G. Mancini,26.0,81.0,28000000.0,68000.0,67.0,45.0,50.0,81.0
Heberto GaÃºcho,26.0,81.0,24500000.0,43000.0,71.0,61.0,57.0,82.0
Adryan Zonta,30.0,81.0,22000000.0,23000.0,93.0,66.0,75.0,72.0
Rosival Dourado,22.0,81.0,27000000.0,31000.0,77.0,57.0,74.0,82.0
Adriano Bisesi,30.0,81.0,25500000.0,27000.0,78.0,84.0,62.0,33.0
Welington Dano,22.0,81.0,27500000.0,37000.0,79.0,54.0,76.0,75.0
Nailton Padrenda,26.0,81.0,28000000.0,47000.0,82.0,73.0,77.0,52.0
Oswaldinato,30.0,81.0,25500000.0,54000.0,76.0,81.0,67.0,20.0
M. Rashford,24.0,81.0,37000000.0,120000.0,87.0,82.0,75.0,41.0
Richarlison,25.0,81.0,34500000.0,105000.0,82.0,79.0,72.0,53.0
Gabriel,24.0,81.0,37000000.0,74000.0,68.0,36.0,60.0,83.0
R. Le Normand,25.0,81.0,34000000.0,36000.0,63.0,25.0,53.0,83.0
I. SangarÃ©,24.0,81.0,35500000.0,20000.0,66.0,66.0,73.0,81.0
E. Ndicka,22.0,81.0,34000000.0,30000.0,80.0,51.0,71.0,81.0
Y. Bissouma,25.0,81.0,34500000.0,88000.0,72.0,68.0,75.0,80.0
D. Raum,24.0,81.0,34500000.0,49000.0,87.0,59.0,77.0,71.0
M. Terrier,25.0,81.0,34000000.0,61000.0,85.0,81.0,75.0,36.0
A. BarÃ¡k,27.0,81.0,30000000.0,41000.0,74.0,79.0,80.0,65.0
T. SouÄek,27.0,81.0,28000000.0,75000.0,57.0,72.0,73.0,82.0
I. KonatÃ©,23.0,81.0,48000000.0,90000.0,78.0,34.0,57.0,82.0
N. Zaniolo,22.0,81.0,53000000.0,71000.0,87.0,75.0,72.0,62.0
Cucurella,23.0,81.0,34500000.0,90000.0,76.0,68.0,78.0,77.0
L. MartÃ­nez,24.0,81.0,35000000.0,95000.0,72.0,60.0,76.0,82.0
Matheus Cunha,23.0,81.0,39500000.0,60000.0,84.0,82.0,75.0,32.0
Pedro GonÃ§alves,24.0,81.0,39000000.0,19000.0,76.0,80.0,80.0,56.0
