short_name,player_positions,overall,potential,value_eur,wage_eur,nationality_name,preferred_foot,pace,shooting,passing,defending
M. Å kriniar,CB,86,87,68500000,105000,Slovakia,Right,78,41,57,88
C. Nkunku,"CF, CAM, ST",86,89,94000000,90000,France,Right,88,81,83,65
Ã‰. Mendy,GK,86,87,51000000,130000,Senegal,Right,0,0,0,0
VinÃ­cius Jr.,LW,86,92,109000000,200000,Brazil,Right,95,79,74,29
Y. Sommer,GK,85,85,17500000,40000,Switzerland,Right,0,0,0,0
P. GulÃ¡csi,GK,85,85,26500000,65000,Hungary,Right,0,0,0,0
Ä°. GÃ¼ndoÄŸan,"CM, CDM",85,85,44000000,185000,Germany,Right,64,80,85,72
M. Reus,"CAM, CF, RM",85,85,33500000,78000,Germany,Right,70,84,84,53
K. Walker,RB,85,85,37500000,170000,England,Right,91,63,77,80
P. Aubameyang,ST,85,85,34500000,180000,Gabon,Right,87,84,74,36
Jordi Alba,LB,85,85,28000000,190000,Spain,Left,84,70,82,77
Sergio Busquets,CDM,85,85,26500000,190000,Spain,Right,42,62,79,82
Iago Aspas,ST,85,85,26000000,50000,Spain,Left,82,85,79,35
P. Pogba,"CM, CDM, LM",85,85,52500000,165000,France,Right,67,80,85,62
M. Depay,"CF, ST, LW",85,85,55000000,230000,Netherlands,Right,83,84,82,30
Jorginho,CM,85,85,51500000,165000,Italy,Right,54,67,86,73
S. Gnabry,RM,85,85,59000000,100000,Germany,Right,82,84,79,43
Gerard Moreno,ST,85,85,53000000,64000,Spain,Left,78,86,77,46
Y. Carrasco,LM,85,85,54500000,90000,Belgium,Right,89,82,80,53
F. KostiÄ‡,"LM, LWB",85,85,53000000,165000,Serbia,Left,84,78,82,68
J. Vardy,ST,85,85,23000000,110000,England,Right,84,84,70,52
N. SÃ¼le,"CB, RB",85,87,59000000,72000,Germany,Right,71,48,66,85
N. Fekir,CAM,85,85,54500000,48000,France,Left,83,82,82,38
M. AcuÃ±a,LB,85,85,46500000,46000,Argentina,Left,76,74,83,80
Diogo Jota,"CF, LW",85,89,76000000,170000,Portugal,Right,85,83,75,57
T. HernÃ¡ndez,LB,85,90,76000000,82000,France,Left,93,72,76,78
P. Schick,ST,85,87,67500000,95000,Czech Republic,Left,78,83,71,36
M. de Ligt,CB,85,89,71000000,77000,Netherlands,Right,75,59,61,84
P. Foden,"LW, CF, CAM",85,92,109500000,180000,England,Left,82,78,81,56
Pedri,CM,85,93,116000000,115000,Spain,Right,79,67,81,68
G. Chiellini,CB,84,84,7500000,11000,Italy,Left,65,46,60,85
A. GÃ³mez,"CAM, LW",84,84,20000000,47000,Argentina,Right,86,78,83,39
Sergio Ramos,CB,84,84,7500000,75000,Spain,Right,61,69,73,83
S. HandanoviÄ,GK,84,84,4700000,46000,Slovenia,Right,0,0,0,0
D. Mertens,"CF, ST, CAM",84,84,18000000,86000,Belgium,Right,78,82,80,34
L. SuÃ¡rez,ST,84,84,18000000,1000,Uruguay,Right,70,86,78,46
M. Hummels,"CB, RB, RW",84,84,20000000,66000,Germany,Right,53,59,76,87
E. DÅ¾eko,ST,84,84,14500000,80000,Bosnia and Herzegovina,Right,63,84,71,45
I. PeriÅ¡iÄ‡,"LM, LWB",84,84,26500000,130000,Croatia,Right,78,81,79,74
E. Hazard,LW,84,84,35000000,220000,Belgium,Right,83,80,82,35
Ã. Di MarÃ­a,RW,84,84,20000000,160000,Argentina,Left,79,79,84,48
L. Bonucci,CB,84,84,11000000,95000,Italy,Right,54,59,69,85
K. Trippier,"RB, RM",84,84,30500000,120000,England,Right,70,64,82,80
Muniain,"LM, CAM",84,84,41500000,49000,Spain,Right,81,77,82,51
Canales,"RM, CAM, CDM",84,84,35000000,42000,Spain,Left,83,79,85,68
K. Casteels,GK,84,85,31500000,55000,Belgium,Left,0,0,0,0
J. Matip,CB,84,84,34500000,140000,Cameroon,Right,61,46,69,87
S. de Vrij,CB,84,84,34500000,88000,Netherlands,Right,68,41,65,87
L. Insigne,"LW, CF, LM",84,84,35000000,19000,Italy,Right,84,78,84,36
D. TadiÄ‡,"LW, CF, CAM",84,84,26500000,32000,Serbia,Left,68,81,86,43
W. Ben Yedder,ST,84,84,35500000,88000,France,Right,81,84,78,39
R. Varane,CB,84,85,39000000,155000,France,Right,81,49,64,85
E. MartÃ­nez,GK,84,84,29000000,95000,Argentina,Right,0,0,0,0
S. SaviÄ‡,CB,84,84,29000000,74000,Montenegro,Right,64,35,58,87
Carvajal,RB,84,84,36500000,185000,Spain,Right,82,54,77,78
J. Grealish,"LW, LM, CAM",84,84,46000000,185000,England,Right,76,76,83,46
M. KovaÄiÄ‡,CM,84,84,42000000,155000,Croatia,Right,70,69,83,71
H. Ã‡alhanoÄŸlu,CM,84,84,42000000,100000,Turkey,Right,67,80,85,68
Y. Bounou,GK,84,84,22500000,34000,Morocco,Left,0,0,0,0
T. Partey,"CDM, CM",84,84,36000000,115000,Ghana,Right,65,71,81,80
D. Berardi,"RM, RW",84,84,45000000,57000,Italy,Left,82,81,81,36
R. De Paul,CM,84,84,42000000,85000,Argentina,Right,78,77,83,75
Y. Tielemans,"CM, CDM",84,86,52500000,115000,Belgium,Right,56,80,86,70
L. HernÃ¡ndez,"CB, LB",84,86,46000000,82000,France,Left,77,54,70,84
L. SanÃ©,LM,84,85,49500000,90000,Germany,Left,88,81,80,38
M. Ã˜degaard,"CAM, CM",84,89,63500000,105000,Norway,Left,76,75,86,58
Marcos Llorente,"CM, RM, RB",84,85,48000000,81000,Spain,Right,88,79,81,78
W. Ndidi,"CDM, CM",84,86,47500000,105000,Nigeria,Right,66,62,68,85
L. Pellegrini,"CAM, CM",84,87,55000000,95000,Italy,Right,79,77,83,74
Oyarzabal,"LW, RW",84,86,53000000,57000,Spain,Left,79,83,80,41
F. KessiÃ©,"CDM, CM",84,86,47500000,165000,CÃ´te d'Ivoire,Right,78,76,74,82
F. Tomori,CB,84,90,60500000,75000,England,Right,86,40,60,86
J. Sancho,"LW, RW, LM",84,88,61500000,155000,England,Right,81,74,81,36
M. Mount,"CAM, RW",84,87,57500000,130000,England,Right,74,81,85,55
D. Rice,CDM,84,87,52000000,83000,England,Right,71,64,74,82
A. Davies,"LB, LM",84,89,60500000,59000,Canada,Left,94,66,77,76
A. Hakimi,"RB, RWB",84,87,53500000,90000,Morocco,Right,92,75,79,75
K. Havertz,"CAM, CF, ST",84,91,84500000,130000,Germany,Left,81,79,79,45
F. Chiesa,LW,84,90,66500000,140000,Italy,Right,91,81,76,48
A. Bastoni,CB,84,90,60500000,75000,Italy,Left,73,35,69,86
R. James,"RWB, RB",84,88,57000000,120000,England,Right,81,70,82,80
F. Valverde,"CM, RW",84,90,66000000,175000,Uruguay,Right,87,74,80,78
Ã‰der MilitÃ£o,CB,84,89,57500000,160000,Brazil,Right,86,50,70,85
L. DÃ­az,"LW, LM",84,87,56000000,155000,Colombia,Right,91,80,75,34
S. Tonali,"CDM, CM",84,90,62500000,75000,Italy,Right,81,73,81,79
J. KoundÃ©,"CB, RB",84,89,57500000,150000,France,Right,84,45,64,85
Rafael LeÃ£o,"LW, LM",84,90,66500000,90000,Portugal,Right,91,77,73,27
M. Diaby,"RM, LM, LW",84,88,61500000,70000,France,Left,93,73,75,42
JoÃ£o FÃ©lix,"CF, ST",84,90,68500000,78000,Portugal,Right,83,80,81,40
D. VlahoviÄ‡,ST,84,91,86500000,140000,Serbia,Left,80,85,66,28
J. Bellingham,"CM, LM",84,91,81500000,41000,England,Right,75,75,78,77
JesÃºs Navas,"RB, RM",83,83,8000000,28000,Spain,Right,85,68,82,79
PiquÃ©,CB,83,83,9500000,110000,Spain,Right,56,61,71,83
K. Schmeichel,GK,83,83,4000000,31000,Denmark,Right,0,0,0,0
David Silva,"CAM, CM",83,83,12000000,37000,Spain,Left,61,72,86,52
J. Henderson,"CM, CDM",83,83,28500000,135000,England,Right,66,74,83,78
Fernando,"CDM, CB",83,83,12500000,39000,Brazil,Right,65,62,76,83
L. HrÃ¡deckÃ½,GK,83,83,18000000,55000,Finland,Right,0,0,0,0
J. Cuadrado,"RB, RM",83,83,13500000,120000,Colombia,Right,90,75,78,76
O. Baumann,GK,83,83,18000000,40000,Germany,Right,0,0,0,0
Koke,"CM, CDM",83,83,34500000,74000,Spain,Right,70,72,84,78
A. Griezmann,"ST, CF, RW",83,83,30500000,185000,France,Left,80,82,83,52
Luis Alberto,CM,83,83,35500000,74000,Spain,Right,54,75,86,57
Roberto Firmino,CF,83,83,35500000,150000,Brazil,Right,74,76,79,59
J. Stones,CB,83,84,34500000,150000,England,Right,72,51,71,84
H. Ziyech,"RW, CAM",83,83,35500000,155000,Morocco,Left,76,77,87,50
Ricardo Pereira,"RB, RWB",83,83,33000000,105000,Portugal,Right,79,67,79,80
P. ZieliÅ„ski,"CAM, CM",83,83,36500000,78000,Poland,Right,81,77,81,70
T. Lemar,"CM, LM, RM",83,86,47000000,74000,France,Left,82,78,83,68
P. HÃ¸jbjerg,"CDM, CM",83,85,40500000,110000,Denmark,Right,55,73,77,80
Ã. Correa,"ST, RM, CF",83,84,42500000,80000,Argentina,Right,85,84,77,50
D. Zapata,ST,83,83,30500000,77000,Colombia,Right,78,82,63,35
J. GimÃ©nez,CB,83,85,38500000,68000,Uruguay,Right,71,46,57,85
Diego Carlos,CB,83,83,30500000,105000,Brazil,Right,76,47,63,82
AngeliÃ±o,"LWB, LM",83,85,42000000,64000,Spain,Left,78,71,82,76
Marco Asensio,RW,83,84,43000000,200000,Spain,Left,82,80,81,43
RÃºben Neves,"CM, CDM",83,86,47500000,105000,Portugal,Right,58,74,86,76
Merino,CM,83,86,47000000,49000,Spain,Left,73,78,81,82
K. Laimer,"CDM, CM",83,84,38500000,64000,Austria,Right,84,68,78,81
P. Kimpembe,CB,83,86,42000000,95000,France,Left,80,43,68,83
FabiÃ¡n,"CM, CDM",83,85,44500000,105000,Spain,Left,61,79,80,74
F. Mendy,LB,83,84,38000000,170000,France,Left,92,64,77,78
Ronaldo Cabrais,"CAM, RM",83,83,35000000,59000,Brazil,Right,88,77,83,35
Gabriel Jesus,"ST, RW",83,86,48500000,115000,Brazil,Right,84,82,74,40
Unai SimÃ³n,GK,83,86,37000000,30000,Spain,Right,0,0,0,0
O. DembÃ©lÃ©,"RW, LW",83,86,48000000,180000,France,Left,93,77,79,36
V. Osimhen,ST,83,89,58000000,72000,Nigeria,Right,90,82,65,40
C. Romero,CB,83,88,49500000,95000,Argentina,Right,73,46,57,85
Raphinha,"RW, RM",83,86,48000000,180000,Brazil,Left,91,79,77,50
Carlos Soler,"CM, RM, CDM",83,88,53000000,100000,Spain,Right,80,77,83,71
G. Kobel,GK,83,88,44000000,40000,Switzerland,Right,0,0,0,0
Bremer,CB,83,87,45500000,115000,Brazil,Right,78,50,56,84
Pau Torres,CB,83,89,50500000,43000,Spain,Left,73,38,67,84
C. Gakpo,LW,83,87,52000000,29000,Netherlands,Right,87,82,77,41
R. Araujo,"CB, RB",83,89,52000000,135000,Uruguay,Right,77,51,65,83
Z. IbrahimoviÄ‡,ST,82,82,,63000,Sweden,Right,58,85,76,34
RaÃºl Albiol,CB,82,82,5500000,30000,Spain,Right,38,41,62,85
Å. FabiaÅ„ski,GK,82,82,3400000,43000,Poland,Right,0,0,0,0
I. RakitiÄ‡,CM,82,82,14000000,39000,Croatia,Right,53,80,86,75
D. Payet,"CAM, LW, ST",82,82,12500000,40000,France,Right,70,78,84,40
Rui PatrÃ­cio,GK,82,82,5000000,59000,Portugal,Left,0,0,0,0
O. Giroud,ST,82,82,13000000,66000,France,Left,42,83,72,42
S. KjÃ¦r,CB,82,82,14500000,73000,Denmark,Right,62,54,64,84
Yuri Berchiche,LB,82,82,21000000,35000,Spain,Left,81,68,76,79
T. Alderweireld,CB,82,82,14500000,30000,Belgium,Right,57,55,70,85
M. ArnautoviÄ‡,ST,82,82,19500000,51000,Austria,Right,78,82,79,44
Azpilicueta,"CB, RWB, RB",82,82,20000000,115000,Spain,Right,64,55,76,84
Coutinho,"CAM, LW, CM",82,82,29500000,100000,Brazil,Right,62,79,80,52
C. Eriksen,"CM, CAM, CDM",82,82,29000000,135000,Denmark,Right,61,78,88,53
I. Gueye,"CDM, CM",82,82,20500000,53000,Senegal,Right,67,66,72,83
S. Coates,CB,82,82,21000000,19000,Uruguay,Right,68,49,55,84
Isco,"CAM, LW, CM",82,82,29500000,39000,Spain,Right,65,75,80,59
W. Zaha,"LW, CF",82,82,30000000,85000,CÃ´te d'Ivoire,Right,91,79,73,37
L. Muriel,ST,82,82,25500000,70000,Colombia,Right,89,83,74,27
A. Lopes,GK,82,82,16000000,60000,Portugal,Left,0,0,0,0
F. Acerbi,CB,82,82,10000000,59000,Italy,Left,62,50,64,85
S. Berghuis,"CAM, RW",82,82,29500000,25000,Netherlands,Left,80,82,83,40
L. Digne,LB,82,82,27500000,100000,France,Left,78,69,80,77
K. Volland,"ST, CF, CAM",82,82,30500000,76000,Germany,Left,70,85,79,46
Nacho FernÃ¡ndez,"CB, LB",82,82,20000000,155000,Spain,Right,75,37,69,82
Gabriel Paulista,CB,82,82,21000000,44000,Brazil,Right,67,49,71,84
G. Kondogbia,"CM, CDM, CB",82,82,29500000,71000,Central African Republic,Left,68,75,77,81
Sergi Darder,"CM, CDM, CAM",82,82,30500000,30000,Spain,Right,82,74,82,74
L. Spinazzola,"LWB, LM",82,82,27000000,77000,Italy,Right,91,64,73,78
IÃ±igo MartÃ­nez,CB,82,82,21000000,35000,Spain,Left,71,56,67,82
W. Orban,CB,82,82,25500000,65000,Hungary,Right,57,36,53,84
R. JimÃ©nez,ST,82,82,25500000,110000,Mexico,Right,73,81,76,47
J. Pickford,GK,82,84,26000000,45000,England,Left,0,0,0,0
S. Haller,ST,82,82,31000000,68000,CÃ´te d'Ivoire,Right,65,80,62,52
M. Ginter,CB,82,83,29000000,40000,Germany,Right,60,59,71,84
E. Can,"CM, CB, CDM",82,82,30500000,63000,Germany,Right,79,78,77,82
R. Guerreiro,"LB, LM",82,82,27500000,57000,Portugal,Left,74,77,86,75
Grimaldo,"LB, LWB, LM",82,83,33000000,19000,Spain,Left,87,65,81,74
OtÃ¡vio,"RM, LM",82,82,32500000,21000,Portugal,Right,78,69,80,63
GayÃ ,"LB, LM",82,83,32000000,44000,Spain,Left,83,61,76,78
T. Werner,"ST, LW",82,84,38000000,73000,Germany,Right,90,80,69,35
J. Brandt,"CAM, CM, RM",82,85,40000000,60000,Germany,Right,67,78,82,48
Anderson Talisca,"CF, ST, CAM",82,82,31000000,64000,Brazil,Left,80,82,78,52
J. Tah,CB,82,84,33500000,62000,Germany,Right,67,37,59,83
A. Christensen,CB,82,86,37500000,145000,Denmark,Right,68,32,66,84
G. Rulli,GK,82,82,20500000,34000,Argentina,Right,0,0,0,0
A. KramariÄ‡,"CF, CAM",82,82,25500000,54000,Croatia,Right,71,80,79,30
Rafa,"RW, RM, CF",82,82,30000000,24000,Portugal,Right,91,73,75,50
G. Di Lorenzo,RB,82,82,27500000,66000,Italy,Right,85,66,73,78
J. Maddison,"CAM, RM",82,84,38000000,100000,England,Right,73,78,84,54
M. Locatelli,"CDM, CM",82,86,40000000,37000,Italy,Right,63,72,79,79
R. Gosens,"LWB, LM",82,82,29500000,59000,Germany,Left,82,75,74,77
David Soria,GK,82,82,21000000,32000,Spain,Right,0,0,0,0
GonÃ§alo Guedes,"ST, LM, CF",82,85,41000000,105000,Portugal,Right,86,83,74,38
Aritz Elustondo,"CB, RB",82,83,29000000,43000,Spain,Right,64,39,65,82
A. Onana,GK,82,85,30500000,59000,Cameroon,Right,0,0,0,0
I. Bennacer,"CDM, CM",82,86,40000000,63000,Algeria,Left,77,68,80,77
Ãlex Remiro,GK,82,84,28000000,34000,Spain,Right,0,0,0,0
C. Pulisic,"LW, RW, LM",82,88,48000000,120000,United States,Right,87,71,73,37
AndrÃ© Silva,ST,82,84,38000000,73000,Portugal,Right,74,83,70,47
B. Chilwell,"LWB, LB",82,85,37000000,110000,England,Left,76,60,78,78
Lucas Mantela,GK,82,82,27000000,33000,Brazil,Right,0,0,0,0
JosuÃ© Chiamulera,CB,82,82,25000000,23000,Brazil,Right,78,43,56,85
T. Abraham,ST,82,85,42000000,77000,England,Right,83,81,66,36
R. Malinovskyi,"CF, CAM",82,82,30500000,73000,Ukraine,Left,76,81,83,64
D. Dumfries,"RWB, RM",82,84,34500000,73000,Netherlands,Right,83,63,70,78
Lucas PaquetÃ¡,"CAM, CM, CF",82,87,46000000,77000,Brazil,Left,72,78,79,69
A. Ramsdale,GK,82,86,34500000,62000,England,Right,0,0,0,0
A. Danjuma,"LM, ST",82,83,36500000,43000,Netherlands,Right,88,81,75,42
N. Mazraoui,RB,82,86,40500000,59000,Morocco,Right,84,66,77,76
Ferran Torres,"LW, ST",82,88,49000000,150000,Spain,Right,84,79,79,35
A. TchouamÃ©ni,"CM, CDM",82,89,61500000,145000,France,Right,70,70,79,81
Dani Olmo,"CAM, CF",82,87,46000000,59000,Spain,Right,67,76,81,50
B. Saka,"RM, LM",82,89,60500000,76000,England,Left,84,74,78,65
N. Schlotterbeck,CB,82,88,44500000,47000,Germany,Left,76,56,66,84
D. NÃºÃ±ez,"ST, LW",82,89,61500000,120000,Uruguay,Right,89,82,68,42
Antony,"RW, RM",82,88,49000000,130000,Brazil,Left,93,74,75,39
F. Wirtz,"CAM, CM",82,91,66000000,38000,Germany,Right,78,73,80,51
Pepe,CB,81,81,4600000,12000,Portugal,Right,77,51,60,81
JoÃ£o Moutinho,CM,81,81,10500000,70000,Portugal,Right,47,71,84,71
C. Vela,"RW, LW, CAM",81,81,16000000,14000,Mexico,Left,77,79,76,30
J. Vertonghen,CB,81,81,7000000,21000,Belgium,Left,69,62,72,83
G. Bale,"RW, RM",81,81,20500000,14000,Wales,Left,80,84,81,55
AdÃ¡n,GK,81,81,2900000,9000,Spain,Left,0,0,0,0
Ã‰. Banega,"CM, CDM, CAM",81,81,12000000,47000,Argentina,Right,62,74,83,75
E. Cavani,ST,81,81,11000000,37000,Uruguay,Right,61,83,68,51
Rafael TolÃ³i,CB,81,81,17500000,55000,Italy,Right,67,52,59,82
Oscar,"CAM, CM, LW",81,81,25000000,28000,Brazil,Right,79,78,82,59
C. Smalling,CB,81,81,16500000,68000,England,Right,62,47,58,83
M. GÃ¶tze,"CAM, ST, CM",81,81,25000000,38000,Germany,Right,67,74,83,55
N. Otamendi,CB,81,81,8500000,18000,Argentina,Right,63,57,62,83
H. Mkhitaryan,"CAM, CM",81,81,16000000,74000,Armenia,Right,82,79,78,56
A. Areola,GK,81,82,20000000,64000,France,Right,0,0,0,0
J. Corona,"RW, LW",81,81,25500000,40000,Mexico,Right,82,65,80,73
T. Delaney,"CDM, CM",81,81,21500000,33000,Denmark,Left,72,71,74,82
A. Lacazette,ST,81,81,22000000,81000,France,Right,70,81,76,44
Neto,GK,81,81,13000000,47000,Brazil,Right,0,0,0,0
Marc Bartra,CB,81,81,17500000,44000,Spain,Right,71,61,73,81
Pablo Sarabia,"RW, CAM, LW",81,81,25000000,95000,Spain,Left,73,76,82,57
H. Maguire,CB,81,82,24000000,120000,England,Right,48,57,68,80
N. Pope,GK,81,81,17000000,75000,England,Right,0,0,0,0
J. Ward-Prowse,CM,81,82,29500000,69000,England,Right,59,74,86,67
L. Ocampos,"RW, LW",81,81,27500000,39000,Argentina,Right,80,81,77,62
E. ViÅ¡Ä‡a,"RM, RW",81,81,20500000,48000,Bosnia and Herzegovina,Right,87,78,78,47
T. Savanier,"CAM, CM",81,81,25000000,33000,France,Right,64,76,84,69
Felipe,CB,81,81,12500000,57000,Brazil,Right,59,43,59,81
E. Forsberg,"CAM, CF, ST",81,81,25000000,62000,Sweden,Right,71,73,83,35
Lucas VÃ¡zquez,"RB, RW",81,81,18500000,140000,Spain,Right,82,73,79,73
G. Laborde,ST,81,81,26500000,61000,France,Left,74,81,76,40
J. Hofmann,"CAM, RM, LM",81,81,25500000,40000,Germany,Right,73,76,80,64
N. Tagliafico,LB,81,81,22500000,72000,Argentina,Left,80,56,72,80
K. Demirbay,"CM, CDM, CAM",81,81,25500000,65000,Germany,Left,69,76,81,71
O. Vlachodimos,GK,81,83,22000000,15000,Greece,Right,0,0,0,0
V. Grifo,"LM, CF",81,81,25500000,40000,Italy,Right,74,75,80,40
R. Andrich,"CDM, CM",81,82,26500000,57000,Germany,Right,63,76,76,79
JosÃ© SÃ¡,GK,81,82,20000000,74000,Portugal,Right,0,0,0,0
Ricardo Horta,"CF, ST, LW",81,81,28000000,23000,Portugal,Right,79,82,79,43
M. Uribe,"CM, CDM",81,81,21000000,19000,Colombia,Right,75,76,75,80
B. Bourigeaud,"RW, RM, LM",81,81,26000000,66000,France,Right,76,77,83,66
J. Musso,GK,81,82,20500000,47000,Argentina,Right,0,0,0,0
IÃ±aki Williams,ST,81,81,26500000,40000,Ghana,Right,94,78,72,38
S. Fofana,CM,81,81,27500000,43000,CÃ´te d'Ivoire,Right,73,74,75,73
A. Saint-Maximin,LM,81,83,32500000,95000,France,Right,90,73,73,27
M. Politano,"RW, RM",81,81,26000000,72000,Italy,Left,83,77,78,42
S. Lobotka,"CM, CDM",81,82,29500000,64000,Slovakia,Right,71,68,79,73
C. Tolisso,"CM, CDM",81,81,27500000,75000,France,Right,69,78,77,77
N. KeÃ¯ta,CM,81,82,29500000,115000,Guinea,Right,69,74,76,69
H. Lozano,RW,81,81,28000000,69000,Mexico,Right,93,76,72,41
M. PaÅ¡aliÄ‡,"CAM, CF, CM",81,81,27500000,60000,Croatia,Right,75,79,76,67
L. Torreira,"CDM, CM",81,83,28500000,73000,Uruguay,Right,72,70,76,78
K. Phillips,"CDM, CM",81,85,32000000,120000,England,Right,66,65,77,79
Borja Iglesias,ST,81,81,25500000,36000,Spain,Right,66,82,65,40
J. Gomez,"CB, RB",81,86,34000000,100000,England,Right,80,30,67,81
G. RodrÃ­guez,CDM,81,82,26500000,30000,Argentina,Right,51,57,71,84
G. Lo Celso,"CM, ST, LM",81,83,31500000,100000,Argentina,Left,71,75,83,68
K. Tierney,LB,81,85,33000000,82000,Scotland,Left,84,60,75,76
A. Zambo Anguissa,"CDM, CM",81,83,28500000,58000,Cameroon,Right,78,68,71,80
M. Akanji,CB,81,82,26500000,120000,Switzerland,Right,77,48,70,83
D. Zakaria,"CDM, CM",81,86,34500000,95000,Switzerland,Right,82,64,73,80
Palhinha,"CDM, CM",81,83,28500000,66000,Portugal,Right,63,65,70,82
D. Upamecano,CB,81,87,37000000,54000,France,Right,82,43,61,80
G. Mancini,CB,81,83,28000000,68000,Italy,Right,67,45,50,81
Heberto GaÃºcho,"CB, CDM",81,81,24500000,43000,Brazil,Right,71,61,57,82
Adryan Zonta,"LWB, LB",81,81,22000000,23000,Brazil,Left,93,66,75,72
Rosival Dourado,"CDM, CM, CAM",81,81,27000000,31000,Brazil,Right,77,57,74,82
